"id";"nome";"segmento";"data_cadastro";"horario_atendimento";"valor";"status"
1;"Ana Silva";"varejo";"2024-01-10";"08:30:00";120,5;"ativo"
2;"Joao Souza";"corporativo";"2024-01-15";"09:15:10";850;"ativo"
3;"Maria Oliveira";"varejo";"2024-02-01";"11:45:00";230,9;"inativo"
4;"Carlos Pereira";"alta renda";"2024-02-20";"13:20:30";1500;"ativo"
5;"Beatriz Santos";"varejo";"2024-03-03";"15:10:00";95,7;"ativo"
6;"Pedro Almeida";"corporativo";"2024-03-12";"16:50:45";720,4;"inativo"
7;"Luiza Costa";"alta renda";"2024-04-05";"10:05:20";1800;"ativo"
8;"Rafael Lima";"varejo";"2024-04-18";"18:30:00";60;"ativo"
9;"Fernanda Rocha";"corporativo";"2024-05-02";"12:00:00";910,3;"ativo"
10;"Mariana Gomes";"varejo";"2024-05-17";"14:25:15";140;"inativo"
11;"Bruno Martins";"varejo";"2024-06-01";"17:40:00";300,2;"ativo"
12;"Camila Ribeiro";"alta renda";"2024-06-15";"19:05:10";2100;"ativo"
